Movie,Playdate,Play_month,Weekdays,Rep_Nationality,Grade,Rep_production,Rep_distributor,Rep_genre,Rep_director,Rep_actor1,Rep_actor2,Rep_actor3,Rep_actor4,Rep_actor5,Critic_star,Netizen_star_before_play,Num_of_participants_before_play,Netizen_star_after_play,Expect_index_wannasee,Expect_index_notreally,Week1_isplay,Week1_playdays,Week1_holiday,Week1_sales,Week1_sales_share,Week1_audience,Week1_screen,Week1_screening,Week2_isplay,Week2_holiday,Week2_sales,Week2_sales_share,Week2_audience,Week2_screen,Week2_screening,Week3_holiday,Week4_holiday,Week2_Cum_audience,Week3_Cum_audience,Week4_Cum_audience,Week5_Cum_audience
명량,2014-07-30,7,수요일,한국,15세이상관람가,㈜빅스톤픽처스,씨제이이앤엠(주),액션,김한민,최민식,류승룡,조진웅,진구,이정현,6,9,1676,8,13639,1126,1,8,2,55969160116,0.6051,7307179,2584,56790,1,2,37322475075,0.4846,4814896,2185,46772,3,2,12122075,15540940,16556133,17034795
도둑들,2012-07-25,7,수요일,한국,15세이상관람가,(주)케이퍼필름,(주)쇼박스,범죄,최동훈,김윤석,김혜수,이정재,전지현,임달화,7,9,703,8,NA,NA,1,8,2,31099025000,0.539732143,4348869,2001,39523,1,2,25359682000,0.436285714,3488656,1737,34679,3,2,7837525,10079961,11481440,12270974
베테랑,2015-08-05,8,수요일,한국,15세이상관람가,(주)외유내강,씨제이이앤엠(주),액션,류승완,황정민,유아인,유해진,오달수,장윤주,8,9,688,9,9952,1339,1,8,2,30862397723,0.481,3966480,2021,41820,1,2,27494646442,0.475,3491532,1115,36383,2,2,7458012,9579065,11176810,12048616
암살,2015-07-22,7,수요일,한국,15세이상관람가,(주)케이퍼필름,(주)쇼박스,액션,최동훈,전지현,이정재,하정우,오달수,조진웅,7,8,917,9,20846,3541,1,8,2,36246754386,0.745,4687233,2783,55072,1,2,23060280116,0.326,2960563,1094,32184,2,2,7647796,9491708,11015334,11793736
국제시장,2014-12-17,12,수요일,한국,12세이상관람가,㈜제이케이필름 JK Film,씨제이이앤엠(주),드라마,윤제균,황정민,김윤진,오달수,정진영,장영남,6,9,1233,9,12784,2052,1,8,2,17514564344,0.3604,2279678,1787,35228,1,3,23318538252,0.3928,3032951,1821,28139,3,2,5312629,8329563,10146564,11405561
부산행,2016-07-20,7,수요일,한국,15세이상관람가,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),액션,연상호,공유,김정희,정유미,김율호,마동석,7,8,5155,8,62952,8779,1,8,2,53484359076,0.956,6657279,3359,74515,1,2,21032237583,0.269,2596977,1021,34227,2,3,9254256,10369248,11005831,11301325
어벤져스: 에이지 오브 울트론,2015-04-23,4,목요일,미국/캐나다/호주,12세이상관람가,NA,월트디즈니컴퍼니코리아(주),액션,조스 웨던,로버트 다우니 주니어,크리스 헴스워스,마크 러팔로,크리스 에반스,스칼렛 요한슨,7,10,2888,8,96176,8182,1,7,2,37071573400,0.883,4315988,1843,63408,1,3,34735336700,0.7,4147209,1634,58110,2,2,8463197,9592415,10115359,10407923
변호인,2013-12-18,12,수요일,한국,15세이상관람가,위더스필름(주),(주)넥스트엔터테인먼트월드(NEW),드라마,양우석,송강호,김영애,오달수,곽도원,임시완,7,6,26691,9,NA,NA,1,8,3,22340080000,0.4305,3094709,1707,29632,1,3,23555176000,0.4366,3243822,1730,29733,2,2,6338531,8319395,9570017,10362409
검사외전,2016-02-03,2,수요일,한국,15세이상관람가,(주)영화사 월광,(주)쇼박스,범죄,이일형,황정민,강동원,이성민,박성웅,김응수,6,9,746,8,46891,2492,1,8,5,51547912451,0.873,6402524,3080,67281,1,2,16377495413,0.547,2093241,1649,51058,2,3,8495765,9236627,9592428,9682996
"광해, 왕이 된 남자",2012-09-13,9,목요일,한국,15세이상관람가,씨제이이앤엠(주),씨제이이앤엠(주),드라마,추창민,이병헌,류승룡,한효주,김인권,장광,7,10,278,9,NA,NA,1,7,2,13405866500,0.586285714,1843800,1571,25489,1,2,13387429269,0.532714286,1845094,1737,27520,4,2,3688894,7209270,8556550,9630262
